"Search entire store here...","Quel produit made in Europe vous ferait plaisir ?"
"Create an Account","Nouveaux ? Inscrivez vous"
"Sign In","Se connecter"
"Go to checkout","Commander"
"Position","Pertinence"
"Price","Prix Unitaire"
"Out of stock","Rupture de stock"
"Show Password","Voir votre mot de passe"
"Allow remote shopping assistance","Autoriser l'assistance à l'achat à distance"
"Qty","Quantité"
"Proceed to Checkout","Valider la commande"
"%1 product(s) have been added to shopping cart: %2.","%1 produit(s) a/ont été ajouté(s) à votre panier : %2."
"Open a complaint","Faire une demande"
"All Categories","Catégories"
"Maas Offer Seller Name","Nom du vendeur"
"For delivery questions.","Pour les questions liées à la facturation"
"Place Order","Valider le paiement"
"This address is also my billing address","Cette adresse est aussi mon adresse de facturation"
"review & payments","Paiement"